target,z
0.0,0.0
-0.259128442,0.0028606882
-0.2601886394,0.0069637895
-0.2612531744,0.0110836783
-0.2623220649,0.0152204231
-0.2633953286,0.019374093
-0.5327564215,0.0220247324
-0.5349361396,0.0262062414
-0.5371247758,0.0304048586
-0.5393223665,0.0346206541
-0.5415289485,0.0388536981
-0.8226508845,0.0412792466
-0.826016676,0.0455395335
-0.8293962382,0.0498172509
-0.8327896276,0.0541124702
-0.8361969006,0.0584252629
-1.1292837326,0.060617285
-1.1339040807,0.0649566915
-1.1385433326,0.0693138522
-1.1432015655,0.0736888398
-1.1478788571,0.0780817272
-1.2716255084,0.0815188147
-1.4592549296,0.0844496108
-1.465225321,0.0888865249
-1.4712201396,0.093341592
-1.4772394855,0.0978148867
-1.4832834588,0.1023064833
-1.802783487,0.1040094377
-1.8101593902,0.1085263787
-1.8175654711,0.1130618003
-1.8250018532,0.1176157782
-1.8324686605,0.1221883881
-2.146005377,0.1238135635
-2.1733698833,0.1282311296
-2.1822620025,0.1328471711
-2.191190503,0.1374820988
-2.2001555335,0.1421359898
-2.2091572434,0.1468089216
-2.5564270186,0.1479836937
-2.5668863767,0.1526805509
-2.5773885282,0.1573966248
-2.5879336482,0.162131994
-2.5985219124,0.1668867375
-2.9180655438,0.168240286
-2.9715839353,0.1725587789
-2.9837418653,0.1773561825
-2.9959495381,0.1821732142
-3.0082071574,0.1870099543
-3.0205149275,0.1918664834
-3.3972233378,0.1924713704
-3.4111227275,0.1973502443
-3.4250789852,0.2022490797
-3.4390923435,0.2071679581
-3.4531630359,0.2121069616
-3.6541332033,0.2147620453
-3.8603959677,0.217368156
-3.8761903806,0.2223488925
-3.8920494148,0.2273500073
-3.9079733345,0.2323715835
-3.9239624053,0.2374137051
-4.2975382979,0.2378514369
-4.3496104706,0.2424688809
-4.3674064543,0.2475523145
-4.3852752484,0.2526565464
-4.4032171509,0.2577816618
-4.4212324608,0.262927746
-4.846764317,0.2625913687
-4.8665943546,0.2677571313
-4.8865055246,0.2729440292
-4.9064981592,0.2781521487
-4.9265725916,0.2833815767
-5.0184076396,0.2876271093
-5.3899924054,0.2879606563
-5.4120450048,0.2932302148
-5.4341878301,0.2985213331
-5.4564212505,0.3038340996
-5.4787456366,0.3091686026
-5.6386227088,0.3125252074
-5.9628114392,0.3135044826
-5.9872076687,0.318878551
-6.0117037128,0.3242746069
-6.03629998,0.3296927402
-6.0609968803,0.3351330412
-6.2538876901,0.3380668558
-6.5664831937,0.3392133316
-6.5933492841,0.3446925852
-6.6203252943,0.3501942566
-6.6474116741,0.3557184374
-6.674608875,0.3612652199
-6.8682939296,0.3642535374
-7.2027373423,0.3650708876
-7.232206601,0.3706559346
-7.2617964302,0.3762638324
-7.2915073231,0.3818946742
-7.3213397751,0.3875485541
-7.4852515289,0.3910878067
-7.8724410203,0.391074659
-7.9046503027,0.3967660978
-7.9369913661,0.4024808226
-7.9694647497,0.4082189286
-8.0020709947,0.4139805114
-8.107614612,0.4185733113
-8.5606624417,0.4174835379
-8.6124563681,0.4230070971
-8.6476933472,0.4288291842
-8.6830744948,0.4346750918
-8.7186004006,0.4405449173
-8.7542716571,0.4464387586
-9.1839867973,0.4457370803
-9.3570024214,0.4493700603
-9.395285634,0.4553000088
-9.4337254785,0.461254219
-9.4723225956,0.4672327903
-9.5110776289,0.4732358223
-9.818560614,0.4746512011
-10.1397100257,0.4758465026
-10.181195606,0.4818847767
-10.2228509203,0.4879477558
-10.264676663,0.4940355409
-10.3066735314,0.5001482336
-10.466123159,0.5042316537
-10.9015475062,0.5034929141
-11.0072905381,0.5085685483
-11.0523257348,0.5147407013
-11.0975451883,0.520938107
-11.1429496526,0.5271608688
-11.1885398846,0.5334090903
-11.560288586,0.5338596045
-11.8754703559,0.5353368811
-11.9240576209,0.5416185539
-11.9728436758,0.5479259276
-12.0218293338,0.5542591073
-12.0710154116,0.5606181985
-12.2359299923,0.5649058513
-12.6652072776,0.5644089928
-12.8396179499,0.5685743177
-12.8921499257,0.5749919782
-12.9448968306,0.5814358958
-12.9978595441,0.587906178
-13.051038949,0.5944029328
-13.3574717977,0.5962578435
-13.7850574138,0.5958905662
-13.8578542378,0.6021162125
-13.9145522226,0.6086711061
-13.9714821813,0.6152528184
-14.0286450632,0.6218614591
-14.086041821,0.6284971384
-14.4967548258,0.6285518776
-14.8716570156,0.6292931724
-14.9325028702,0.6359592578
-14.9935976692,0.6426526167
-15.0549424314,0.6493733609
-15.1165381793,0.6561216023
-15.2302347106,0.6619160918
-15.6573424105,0.6618005723
-16.0012642562,0.6632821305
-16.0667317825,0.6700872782
-16.1324671624,0.6769202684
-16.1984714919,0.6837812152
-16.2647458714,0.6906702328
-16.4144125743,0.6959967568
-16.8425501195,0.6960173543
-17.1931183534,0.6975465429
-17.2634622281,0.7044918799
-17.3340939076,0.7114656331
-17.4050145693,0.7184679186
-17.4762253956,0.7254988533
-17.6254661639,0.7310569042
-18.0554838192,0.7312164583
-18.4506183352,0.7320723386
-18.5261071418,0.7391589344
-18.601904803,0.7462745242
-18.6780125825,0.7534192268
-18.7544317492,0.7605931611
-18.8663714646,0.7671110825
-19.299085081,0.7674127202
-19.7321823122,0.7677288649
-19.8582250817,0.7740756016
-19.9394729664,0.7813340494
-20.0210532684,0.7886221944
-20.1029673479,0.795940158
-20.1852165704,0.8032880624
-20.5761604752,0.8046214876
-21.0128541883,0.8050835157
-21.2635394261,0.809230582
-21.3505370099,0.8166328628
-21.4378905353,0.8240654292
-21.5256014586,0.8315284052
-21.6136712422,0.8390219153
-21.8894052356,0.842858538
-22.3304626693,0.8434701693
-22.7459598127,0.8446143895
-22.8390225669,0.8521614395
-22.9324660778,0.8597393674
-23.0262919032,0.8673482997
-23.1205016074,0.8749883631
-23.241422352,0.8821400024
-23.6875948548,0.8829052231
-24.1345047727,0.8836862886
-24.4094154402,0.8879054628
-24.509284052,0.8956296337
-24.6095612659,0.9033854073
-24.7102487537,0.9111729129
-24.811348194,0.9189922802
-25.0867702606,0.92340524
-25.5396508657,0.9243446732
-25.9934003376,0.9253005132
-26.1734367217,0.9317173602
-26.2805226451,0.939620783
-26.3880466994,0.9475565419
-26.4960106774,0.9555247691
-26.6044163789,0.9635255975
-26.9900411008,0.9660891175
-27.4506140521,0.967208458
-27.9121905625,0.9683448251
-28.0438646079,0.9760521485
-28.1586031945,0.9841369626
-28.2738112222,0.9922548548
-28.3838113099,1.0000057804
