target,z
-3.5004339286,0.1
-3.4908265235,0.1009009009
-3.4812532321,0.1018018018
-3.4717138788,0.1027027027
-3.4622082893,0.1036036036
-3.4527362906,0.1045045045
-3.4432977113,0.1054054054
-3.4338923812,0.1063063063
-3.4245201314,0.1072072072
-3.4151807944,0.1081081081
-3.4058742039,0.109009009
-3.396600195,0.1099099099
-3.387358604,0.1108108108
-3.3781492685,0.1117117117
-3.3689720272,0.1126126126
-3.3598267203,0.1135135135
-3.350713189,0.1144144144
-3.3416312756,0.1153153153
-3.3325808239,0.1162162162
-3.3235616786,0.1171171171
-3.3145736857,0.118018018
-3.3056166922,0.1189189189
-3.2966905465,0.1198198198
-3.2877950977,0.1207207207
-3.2789301965,0.1216216216
-3.2700956942,0.1225225225
-3.2612914435,0.1234234234
-3.2525172982,0.1243243243
-3.2437731129,0.1252252252
-3.2350587434,0.1261261261
-3.2263740466,0.127027027
-3.2177188803,0.1279279279
-3.2090931034,0.1288288288
-3.2004965756,0.1297297297
-3.1919291579,0.1306306306
-3.1833907121,0.1315315315
-3.174881101,0.1324324324
-3.1664001883,0.1333333333
-3.1579478387,0.1342342342
-3.1495239179,0.1351351351
-3.1411282925,0.136036036
-3.1327608299,0.1369369369
-3.1244213986,0.1378378378
-3.1161098678,0.1387387387
-3.1078261077,0.1396396396
-3.0995699895,0.1405405405
-3.091341385,0.1414414414
-3.0831401672,0.1423423423
-3.0749662096,0.1432432432
-3.0668193868,0.1441441441
-3.0586995741,0.145045045
-3.0506066478,0.1459459459
-3.0425404849,0.1468468468
-3.0345009631,0.1477477477
-3.0264879612,0.1486486486
-3.0185013586,0.1495495495
-3.0105410354,0.1504504505
-3.0026068728,0.1513513514
-2.9946987525,0.1522522523
-2.986816557,0.1531531532
-2.9789601697,0.1540540541
-2.9711294747,0.154954955
-2.9633243567,0.1558558559
-2.9555447014,0.1567567568
-2.947790395,0.1576576577
-2.9400613246,0.1585585586
-2.9323573778,0.1594594595
-2.9246784432,0.1603603604
-2.91702441,0.1612612613
-2.9093951678,0.1621621622
-2.9017906075,0.1630630631
-2.89421062,0.163963964
-2.8866550975,0.1648648649
-2.8791239325,0.1657657658
-2.8716170182,0.1666666667
-2.8641342485,0.1675675676
-2.8566755182,0.1684684685
-2.8492407223,0.1693693694
-2.8418297569,0.1702702703
-2.8344425183,0.1711711712
-2.8270789038,0.1720720721
-2.8197388111,0.172972973
-2.8124221386,0.1738738739
-2.8051287854,0.1747747748
-2.7978586511,0.1756756757
-2.790611636,0.1765765766
-2.7833876408,0.1774774775
-2.7761865671,0.1783783784
-2.7690083167,0.1792792793
-2.7618527925,0.1801801802
-2.7547198975,0.1810810811
-2.7476095355,0.181981982
-2.7405216109,0.1828828829
-2.7334560286,0.1837837838
-2.726412694,0.1846846847
-2.7193915132,0.1855855856
-2.7123923928,0.1864864865
-2.7054152398,0.1873873874
-2.698459962,0.1882882883
-2.6915264675,0.1891891892
-2.6846146652,0.1900900901
-2.6777244642,0.190990991
-2.6708557744,0.1918918919
-2.6640085061,0.1927927928
-2.6571825702,0.1936936937
-2.6503778779,0.1945945946
-2.6435943412,0.1954954955
-2.6368318723,0.1963963964
-2.6300903843,0.1972972973
-2.6233697903,0.1981981982
-2.6166700043,0.1990990991
-2.6099909407,0.2
-2.6033325141,0.2009009009
