H,h,target,v
0.077809953,-2.3186135905,0.3720708391,0.00884062
0.0789570717,-2.0520449333,0.3820983669,0.0103897873
0.0801049407,-1.8291311564,0.3926043684,0.0120324345
0.0812534019,-1.6399942921,0.4035556083,0.0137636422
0.0824023301,-1.4775218504,0.4149259369,0.015578851
0.0835516259,-1.3364633371,0.4266944427,0.0174738177
0.0847012109,-1.2128590345,0.4388441626,0.0194445794
0.0858510235,-1.1036667753,0.4513611599,0.0214874228
0.0870010161,-1.0065110484,0.4642338509,0.0235988592
0.0881511526,-0.9195101021,0.4774525046,0.0257756021
0.0893014065,-0.8411541608,0.4910088648,0.0280145494
0.0904517592,-0.7702179639,0.5048958603,0.030312766
0.0916021992,-0.7056968527,0.5191073802,0.0326674706
0.0927527205,-0.6467593306,0.533638098,0.0350760229
0.0939033222,-0.5927113502,0.5484833314,0.0375359123
0.0950540078,-0.5429690804,0.5636389305,0.0400447488
0.0962047842,-0.4970378953,0.5791011881,0.0426002537
0.0973556615,-0.454495989,0.5948667653,0.0452002521
0.0985066526,-0.4149814705,0.6109326324,0.0478426658
0.0996577727,-0.3781821055,0.6272960189,0.0505255071
0.1008090391,-0.3438270951,0.6439543725,0.0532468728
0.101960471,-0.3116804331,0.6609053251,0.0560049395
0.1031120888,-0.2815355004,0.6781466641,0.0587979582
0.1042639146,-0.2532106356,0.6956763084,0.0616242505
0.1054159716,-0.226545483,0.7134922878,0.0644822042
0.1065682839,-0.2013979623,0.7315927263,0.0673702701
0.1077208767,-0.1776417412,0.7499758273,0.0702869583
0.1088737757,-0.155164115,0.7686398612,0.0732308352
0.1100270076,-0.1338642206,0.7875831544,0.0762005207
0.1111805993,-0.1136515224,0.806804081,0.0791946853
0.1123345786,-0.0944445259,0.8263010543,0.082212048
0.1134889733,-0.0761696778,0.8460725203,0.0852513737
0.1146438119,-0.058760423,0.8661169523,0.0883114712
0.1157991231,-0.0421563926,0.8864328457,0.0913911912
0.1169549357,-0.0263027026,0.9070187135,0.0944894243
0.1181112787,-0.0111493452,0.9278730834,0.0976050995
0.1192681816,0.00334934,0.9489944938,0.1007371823
0.1204256736,0.017235128,0.9703814917,0.1038846732
0.1215837841,0.030546313,0.9920326305,0.1070466065
0.1227425427,0.0433180623,1.0139464675,0.1102220486
0.1239019789,0.0555827296,1.0361215626,0.1134100969
0.1250621222,0.0673701302,1.058556477,0.1166098786
0.126223002,0.0787077851,1.0812497717,0.1198205496
0.1273846479,0.089621137,1.1042000068,0.1230412931
0.1285470891,0.1001337432,1.1274057404,0.1262713188
0.1297103549,0.1102674466,1.1508655284,0.1295098621
0.1308744745,0.1200425289,1.1745779233,0.1327561829
0.132039477,0.1294778472,1.1985414744,0.1360095647
0.1332053912,0.1385909576,1.2227547272,0.1392693141
0.134372246,0.1473982245,1.2472162231,0.1425347595
0.0777771112,-2.3173098771,0.3849941547,0.0091465034
0.0789183847,-2.0506845402,0.3953414131,0.0107498303
0.0800604469,-1.8277289254,0.4061808547,0.0124499478
0.0812031359,-1.6385606314,0.4174779361,0.0142417523
0.0823463235,-1.4760642453,0.4292054488,0.0161205112
0.0834899086,-1.3349872858,0.4413416062,0.0180818181
0.0846338113,-1.2113686499,0.4538687085,0.0201215555
0.0857779696,-1.1021651828,0.4667721879,0.0222358637
0.0869223356,-1.0050006559,0.4800399117,0.0244211148
0.0880668733,-0.9179927871,0.4936616643,0.0266738899
0.0892115566,-0.8396314033,0.5076287561,0.0289909601
0.0903563678,-0.7686909418,0.5219337236,0.0313692699
0.0915012962,-0.7041665114,0.5365700972,0.0338059222
0.0926463371,-0.6452264354,0.5515322187,0.036298166
0.0937914908,-0.5911765248,0.5668150964,0.0388433847
0.0949367621,-0.5414328364,0.5824142899,0.0414390863
0.0960821595,-0.4955006555,0.5983258165,0.0440828944
0.0972276947,-0.4529581046,0.6145460754,0.0467725401
0.0983733822,-0.4134432348,0.6310717855,0.0495058548
0.0995192391,-0.376643765,0.6478999344,0.0522807637
0.1006652845,-0.3422888581,0.665027736,0.0550952801
0.1018115392,-0.3101424764,0.6824525951,0.0579474996
0.1029580258,-0.279997975,0.7001720779,0.0608355958
0.1041047682,-0.2516736712,0.7181838874,0.0637578153
0.1052517914,-0.2250091915,0.7364858422,0.0667124737
0.1063991217,-0.1998624409,0.7550758589,0.0696979522
0.107546786,-0.1761070747,0.7739519371,0.0727126938
0.1086948122,-0.153630378,0.7931121467,0.0757552001
0.1098432289,-0.1323314789,0.8125546165,0.0788240285
0.110992065,-0.1121198347,0.8322775257,0.0819177893
0.1121413502,-0.0929139446,0.8522790951,0.0850351433
0.1132911145,-0.0746402503,0.8725575807,0.0881747993
0.1144413882,-0.0572321921,0.8931112677,0.091335512
0.1155922019,-0.0406293976,0.9139384655,0.0945160797
0.1167435865,-0.0247769796,0.9350375033,0.0977153428
0.117895573,-0.0096249277,0.9564067264,0.1009321816
0.1190481926,0.004872421,0.9780444931,0.1041655147
0.1202014766,0.0187568433,0.999949172,0.1074142973
