H,Omega_m0,a_av,a_av_tt,target
0.077809953,0.1551925164,0.9090909091,0.0006462836,0.3720708391
0.0789570717,0.1551925164,0.8941605839,0.0006414498,0.3820983669
0.0801049407,0.1551925164,0.8797127469,0.0006373833,0.3926043684
0.0812534019,0.1551925164,0.8657243816,0.0006339388,0.4035556083
0.0824023301,0.1551925164,0.852173913,0.0006310002,0.4149259369
0.0835516259,0.1551925164,0.8390410959,0.0006284732,0.4266944427
0.0847012109,0.1551925164,0.826306914,0.0006262802,0.4388441626
0.0858510235,0.1551925164,0.8139534884,0.0006243562,0.4513611599
0.0870010161,0.1551925164,0.8019639935,0.0006226467,0.4642338509
0.0881511526,0.1551925164,0.7903225806,0.0006211049,0.4774525046
0.0893014065,0.1551925164,0.7790143084,0.0006196907,0.4910088648
0.0904517592,0.1551925164,0.7680250784,0.0006183692,0.5048958603
0.0916021992,0.1551925164,0.7573415765,0.0006171099,0.5191073802
0.0927527205,0.1551925164,0.7469512195,0.000615886,0.533638098
0.0939033222,0.1551925164,0.7368421053,0.0006146736,0.5484833314
0.0950540078,0.1551925164,0.7270029674,0.0006134515,0.5636389305
0.0962047842,0.1551925164,0.7174231332,0.0006122006,0.5791011881
0.0973556615,0.1551925164,0.7080924855,0.0006109036,0.5948667653
0.0985066526,0.1551925164,0.6990014265,0.000609545,0.6109326324
0.0996577727,0.1551925164,0.6901408451,0.0006081104,0.6272960189
0.1008090391,0.1551925164,0.6815020862,0.0006065869,0.6439543725
0.101960471,0.1551925164,0.6730769231,0.0006049626,0.6609053251
0.1031120888,0.1551925164,0.6648575305,0.0006032263,0.6781466641
0.1042639146,0.1551925164,0.6568364611,0.0006013678,0.6956763084
0.1054159716,0.1551925164,0.6490066225,0.0005993777,0.7134922878
0.1065682839,0.1551925164,0.6413612565,0.0005972472,0.7315927263
0.1077208767,0.1551925164,0.6338939198,0.0005949679,0.7499758273
0.1088737757,0.1551925164,0.6265984655,0.0005925321,0.7686398612
0.1100270076,0.1551925164,0.6194690265,0.0005899325,0.7875831544
0.1111805993,0.1551925164,0.6125,0.0005871624,0.806804081
0.1123345786,0.1551925164,0.6056860321,0.0005842152,0.8263010543
0.1134889733,0.1551925164,0.5990220049,0.0005810848,0.8460725203
0.1146438119,0.1551925164,0.592503023,0.0005777654,0.8661169523
0.1157991231,0.1551925164,0.5861244019,0.0005742515,0.8864328457
0.1169549357,0.1551925164,0.5798816568,0.000570538,0.9070187135
0.1181112787,0.1551925164,0.5737704918,0.0005666197,0.9278730834
0.1192681816,0.1551925164,0.5677867903,0.0005624919,0.9489944938
0.1204256736,0.1551925164,0.5619266055,0.0005581502,0.9703814917
0.1215837841,0.1551925164,0.5561861521,0.0005535901,0.9920326305
0.1227425427,0.1551925164,0.5505617978,0.0005488075,1.0139464675
0.1239019789,0.1551925164,0.5450500556,0.0005437984,1.0361215626
0.1250621222,0.1551925164,0.5396475771,0.000538559,1.058556477
0.126223002,0.1551925164,0.534351145,0.0005330855,1.0812497717
0.1273846479,0.1551925164,0.5291576674,0.0005273745,1.1042000068
0.1285470891,0.1551925164,0.5240641711,0.0005214225,1.1274057404
0.1297103549,0.1551925164,0.5190677966,0.0005152263,1.1508655284
0.1308744745,0.1551925164,0.5141657922,0.0005087826,1.1745779233
0.132039477,0.1551925164,0.5093555094,0.0005020885,1.1985414744
0.1332053912,0.1551925164,0.5046343975,0.000495141,1.2227547272
0.134372246,0.1551925164,0.5,0.0004879372,1.2472162231
0.0777771112,0.1606484338,0.9090909091,0.000668528,0.3849941547
0.0789183847,0.1606484338,0.8941605839,0.0006634344,0.3953414131
0.0800604469,0.1606484338,0.8797127469,0.0006591288,0.4061808547
0.0812031359,0.1606484338,0.8657243816,0.0006554607,0.4174779361
0.0823463235,0.1606484338,0.852173913,0.0006523099,0.4292054488
0.0834899086,0.1606484338,0.8390410959,0.0006495787,0.4413416062
0.0846338113,0.1606484338,0.826306914,0.0006471865,0.4538687085
0.0857779696,0.1606484338,0.8139534884,0.0006450662,0.4667721879
0.0869223356,0.1606484338,0.8019639935,0.0006431611,0.4800399117
0.0880668733,0.1606484338,0.7903225806,0.0006414227,0.4936616643
0.0892115566,0.1606484338,0.7790143084,0.0006398095,0.5076287561
0.0903563678,0.1606484338,0.7680250784,0.0006382852,0.5219337236
0.0915012962,0.1606484338,0.7573415765,0.0006368183,0.5365700972
0.0926463371,0.1606484338,0.7469512195,0.0006353809,0.5515322187
0.0937914908,0.1606484338,0.7368421053,0.0006339481,0.5668150964
0.0949367621,0.1606484338,0.7270029674,0.0006324981,0.5824142899
0.0960821595,0.1606484338,0.7174231332,0.0006310108,0.5983258165
0.0972276947,0.1606484338,0.7080924855,0.0006294685,0.6145460754
0.0983733822,0.1606484338,0.6990014265,0.0006278549,0.6310717855
0.0995192391,0.1606484338,0.6901408451,0.0006261552,0.6478999344
0.1006652845,0.1606484338,0.6815020862,0.000624356,0.665027736
0.1018115392,0.1606484338,0.6730769231,0.0006224447,0.6824525951
