OmM,OmR,OomQ,target,z
0.1551925164,0.9517024568,-0.1068949732,0.0,0.0
0.1551925164,0.9517024568,-0.1068949732,-0.1153177561,0.0035267214
0.1551925164,0.9517024568,-0.1068949732,-0.1157988891,0.0077136727
0.1551925164,0.9517024568,-0.1068949732,-0.1162820295,0.0119180929
0.1551925164,0.9517024568,-0.1068949732,-0.1167671857,0.016140055
0.1551925164,0.9517024568,-0.1068949732,-0.117254366,0.0203796321
0.1551925164,0.9517024568,-0.1068949732,-0.2374480573,0.0238297175
0.1551925164,0.9517024568,-0.1068949732,-0.2384387469,0.0281013777
0.1551925164,0.9517024568,-0.1068949732,-0.2394335699,0.0323908602
0.1551925164,0.9517024568,-0.1068949732,-0.2404325434,0.0366982395
0.1551925164,0.9517024568,-0.1068949732,-0.241435685,0.0410235902
0.1551925164,0.9517024568,-0.1068949732,-0.3674189733,0.0443862952
0.1551925164,0.9517024568,-0.1068949732,-0.3689519323,0.0487437223
0.1551925164,0.9517024568,-0.1068949732,-0.3704912872,0.0531193296
0.1551925164,0.9517024568,-0.1068949732,-0.3720370646,0.057513193
0.1551925164,0.9517024568,-0.1068949732,-0.3735892914,0.0619253886
0.1551925164,0.9517024568,-0.1068949732,-0.5045363092,0.065203168
0.1551925164,0.9517024568,-0.1068949732,-0.5066413543,0.069647448
0.1551925164,0.9517024568,-0.1068949732,-0.5087551821,0.0741102706
0.1551925164,0.9517024568,-0.1068949732,-0.5108778292,0.0785917132
0.1551925164,0.9517024568,-0.1068949732,-0.5130093326,0.0830918534
0.1551925164,0.9517024568,-0.1068949732,-0.6498793999,0.0862726105
0.1551925164,0.9517024568,-0.1068949732,-0.6525908507,0.0908047972
0.1551925164,0.9517024568,-0.1068949732,-0.6553136144,0.0953558933
0.1551925164,0.9517024568,-0.1068949732,-0.6580477381,0.0999259777
0.1551925164,0.9517024568,-0.1068949732,-0.6607932692,0.1045151295
0.1551925164,0.9517024568,-0.1068949732,-0.8037400504,0.1075932235
0.1551925164,0.9517024568,-0.1068949732,-0.8070934443,0.1122143649
0.1551925164,0.9517024568,-0.1068949732,-0.8104608294,0.1168547868
0.1551925164,0.9517024568,-0.1068949732,-0.813842264,0.1215145696
0.1551925164,0.9517024568,-0.1068949732,-0.8172378068,0.1261937941
0.1551925164,0.9517024568,-0.1068949732,-0.8604142039,0.1304211975
0.1551925164,0.9517024568,-0.1068949732,-0.9704926944,0.1338743126
0.1551925164,0.9517024568,-0.1068949732,-0.9745418199,0.1386051049
0.1551925164,0.9517024568,-0.1068949732,-0.9786078393,0.1433556352
0.1551925164,0.9517024568,-0.1068949732,-0.982690823,0.1481259858
0.1551925164,0.9517024568,-0.1068949732,-0.986790842,0.1529162395
0.1551925164,0.9517024568,-0.1068949732,-1.1431643935,0.1557824396
0.1551925164,0.9517024568,-0.1068949732,-1.1479339463,0.1606046378
0.1551925164,0.9517024568,-0.1068949732,-1.1527233987,0.1654469554
0.1551925164,0.9517024568,-0.1068949732,-1.1575328339,0.1703094762
0.1551925164,0.9517024568,-0.1068949732,-1.1623623351,0.1751922847
0.1551925164,0.9517024568,-0.1068949732,-1.3250166334,0.1779429316
0.1551925164,0.9517024568,-0.1068949732,-1.3305449168,0.1828575886
0.1551925164,0.9517024568,-0.1068949732,-1.3360962654,0.1877927507
0.1551925164,0.9517024568,-0.1068949732,-1.3416707757,0.1927485036
0.1551925164,0.9517024568,-0.1068949732,-1.347268544,0.1977249329
0.1551925164,0.9517024568,-0.1068949732,-1.4468105386,0.2013629346
0.1551925164,0.9517024568,-0.1068949732,-1.5233070099,0.2053545429
0.1551925164,0.9517024568,-0.1068949732,-1.5296626078,0.2103835677
0.1551925164,0.9517024568,-0.1068949732,-1.5360447226,0.2154335747
0.1551925164,0.9517024568,-0.1068949732,-1.5424534652,0.2205046516
0.1551925164,0.9517024568,-0.1068949732,-1.5488889465,0.2255968862
0.1551925164,0.9517024568,-0.1068949732,-1.7266499734,0.2280924609
0.1551925164,0.9517024568,-0.1068949732,-1.7338539663,0.2332163536
0.1551925164,0.9517024568,-0.1068949732,-1.7410880159,0.2383616245
0.1551925164,0.9517024568,-0.1068949732,-1.7483522476,0.2435283626
0.1551925164,0.9517024568,-0.1068949732,-1.7556467875,0.2487166576
0.1551925164,0.9517024568,-0.1068949732,-1.9406016091,0.2510747801
0.1551925164,0.9517024568,-0.1068949732,-1.9486982589,0.2562945605
0.1551925164,0.9517024568,-0.1068949732,-1.9568286898,0.2615361191
0.1551925164,0.9517024568,-0.1068949732,-1.9649930428,0.2667995467
0.1551925164,0.9517024568,-0.1068949732,-1.9731914594,0.2720849346
0.1551925164,0.9517024568,-0.1068949732,-1.9946449005,0.2771705801
0.1551925164,0.9517024568,-0.1068949732,-2.1750866458,0.2796081022
0.1551925164,0.9517024568,-0.1068949732,-2.1841616227,0.2849469304
0.1551925164,0.9517024568,-0.1068949732,-2.1932744625,0.2903080335
0.1551925164,0.9517024568,-0.1068949732,-2.2024253233,0.2956915043
0.1551925164,0.9517024568,-0.1068949732,-2.2116143636,0.3010974363
0.1551925164,0.9517024568,-0.1068949732,-2.4131073732,0.3031600524
0.1551925164,0.9517024568,-0.1068949732,-2.423175429,0.308597145
0.1551925164,0.9517024568,-0.1068949732,-2.4332854911,0.3140569223
0.1551925164,0.9517024568,-0.1068949732,-2.4434377347,0.3195394792
0.1551925164,0.9517024568,-0.1068949732,-2.4536323359,0.3250449106
0.1551925164,0.9517024568,-0.1068949732,-2.4906746554,0.3300863704
0.1551925164,0.9517024568,-0.1068949732,-2.6743810132,0.3324830535
0.1551925164,0.9517024568,-0.1068949732,-2.6855391645,0.3380424885
0.1551925164,0.9517024568,-0.1068949732,-2.6967438702,0.3436251189
0.1551925164,0.9517024568,-0.1068949732,-2.7079953247,0.3492310412
0.1551925164,0.9517024568,-0.1068949732,-2.7192937228,0.3548603528
0.1551925164,0.9517024568,-0.1068949732,-2.9235613073,0.3568788341
0.1551925164,0.9517024568,-0.1068949732,-2.9509192575,0.3622540532
0.1551925164,0.9517024568,-0.1068949732,-2.9632311919,0.3679376999
0.1551925164,0.9517024568,-0.1068949732,-2.9755944946,0.3736450601
0.1551925164,0.9517024568,-0.1068949732,-2.9880093799,0.3793762328
0.1551925164,0.9517024568,-0.1068949732,-3.0004760631,0.3851313173
0.1551925164,0.9517024568,-0.1068949732,-3.2295930727,0.3866942945
0.1551925164,0.9517024568,-0.1068949732,-3.2430677002,0.3924799117
0.1551925164,0.9517024568,-0.1068949732,-3.2565985471,0.3982896679
0.1551925164,0.9517024568,-0.1068949732,-3.270185848,0.4041236637
0.1551925164,0.9517024568,-0.1068949732,-3.2838298382,0.4099820003
0.1551925164,0.9517024568,-0.1068949732,-3.4141100675,0.4135275789
0.1551925164,0.9517024568,-0.1068949732,-3.5368027237,0.4172476202
0.1551925164,0.9517024568,-0.1068949732,-3.5515591027,0.4231607131
0.1551925164,0.9517024568,-0.1068949732,-3.5663770488,0.4290984768
0.1551925164,0.9517024568,-0.1068949732,-3.581256819,0.4350610143
0.1551925164,0.9517024568,-0.1068949732,-3.596198671,0.4410484289
0.1551925164,0.9517024568,-0.1068949732,-3.8393407818,0.4423535185
0.1551925164,0.9517024568,-0.1068949732,-3.861040825,0.448253945
0.1551925164,0.9517024568,-0.1068949732,-3.8771500022,0.4542964037
0.1551925164,0.9517024568,-0.1068949732,-3.8933263907,0.4603640729
0.1551925164,0.9517024568,-0.1068949732,-3.909570271,0.4664570578
0.1551925164,0.9517024568,-0.1068949732,-3.9258819246,0.4725754642
0.1551925164,0.9517024568,-0.1068949732,-4.1856223849,0.4735650299
0.1551925164,0.9517024568,-0.1068949732,-4.2030857933,0.4797130924
0.1551925164,0.9517024568,-0.1068949732,-4.2206220632,0.4858868061
0.1551925164,0.9517024568,-0.1068949732,-4.2382314985,0.4920862779
0.1551925164,0.9517024568,-0.1068949732,-4.2559144046,0.4983116154
0.1551925164,0.9517024568,-0.1068949732,-4.3507990211,0.5028911829
0.1551925164,0.9517024568,-0.1068949732,-4.5451010709,0.5053371575
0.1551925164,0.9517024568,-0.1068949732,-4.5640643095,0.5116177808
0.1551925164,0.9517024568,-0.1068949732,-4.5831066673,0.5179246084
0.1551925164,0.9517024568,-0.1068949732,-4.6022284743,0.5242577495
0.1551925164,0.9517024568,-0.1068949732,-4.6214300621,0.530617314
0.1551925164,0.9517024568,-0.1068949732,-4.7835630539,0.5338352154
0.1551925164,0.9517024568,-0.1068949732,-4.9239435241,0.5375593793
0.1551925164,0.9517024568,-0.1068949732,-4.9444873832,0.5439744414
0.1551925164,0.9517024568,-0.1068949732,-4.9651169562,0.5504162686
0.1551925164,0.9517024568,-0.1068949732,-4.9858326007,0.5568849726
0.1551925164,0.9517024568,-0.1068949732,-5.0066346757,0.5633806657
0.1551925164,0.9517024568,-0.1068949732,-5.2202723308,0.5655367373
0.1551925164,0.9517024568,-0.1068949732,-5.3230082207,0.5702312465
0.1551925164,0.9517024568,-0.1068949732,-5.3452170723,0.5767826234
0.1551925164,0.9517024568,-0.1068949732,-5.3675185845,0.5833613341
0.1551925164,0.9517024568,-0.1068949732,-5.3899131439,0.5899674928
0.1551925164,0.9517024568,-0.1068949732,-5.4124011387,0.5966012139
0.1551925164,0.9517024568,-0.1068949732,-5.6624074225,0.5980078757
0.1551925164,0.9517024568,-0.1068949732,-5.7434910006,0.6033451484
0.1551925164,0.9517024568,-0.1068949732,-5.7674542061,0.6100346843
0.1551925164,0.9517024568,-0.1068949732,-5.7915173916,0.6167521305
0.1551925164,0.9517024568,-0.1068949732,-5.8156809745,0.6234976035
0.1551925164,0.9517024568,-0.1068949732,-5.8399453736,0.6302712202
0.1551925164,0.9517024568,-0.1068949732,-6.1113091868,0.6312612536
0.1551925164,0.9517024568,-0.1068949732,-6.1860070539,0.6369074703
0.1551925164,0.9517024568,-0.1068949732,-6.2118165411,0.6437370362
0.1551925164,0.9517024568,-0.1068949732,-6.2377337116,0.6505950966
0.1551925164,0.9517024568,-0.1068949732,-6.2637590148,0.6574817704
0.1551925164,0.9517024568,-0.1068949732,-6.2898929016,0.6643971771
0.1551925164,0.9517024568,-0.1068949732,-6.5681892327,0.6653101222
0.1551925164,0.9517024568,-0.1068949732,-6.6518112536,0.6709104641
0.1551925164,0.9517024568,-0.1068949732,-6.6795641863,0.6778818985
0.1551925164,0.9517024568,-0.1068949732,-6.7074329109,0.6848824194
0.1551925164,0.9517024568,-0.1068949732,-6.7354179103,0.6919121481
0.1551925164,0.9517024568,-0.1068949732,-6.7635196699,0.6989712065
0.1551925164,0.9517024568,-0.1068949732,-7.034169344,0.7001681312
0.1551925164,0.9517024568,-0.1068949732,-7.1418924698,0.7053533661
0.1551925164,0.9517024568,-0.1068949732,-7.1716901375,0.7124685045
0.1551925164,0.9517024568,-0.1068949732,-7.2016121282,0.7196133289
0.1551925164,0.9517024568,-0.1068949732,-7.2316589604,0.7267879631
0.1551925164,0.9517024568,-0.1068949732,-7.2618311552,0.7339925317
0.1551925164,0.9517024568,-0.1068949732,-7.5102907811,0.7358493813
0.1551925164,0.9517024568,-0.1068949732,-7.6572772949,0.7402354561
0.1551925164,0.9517024568,-0.1068949732,-7.6892252702,0.7474961307
0.1551925164,0.9517024568,-0.1068949732,-7.72130654,0.7547870987
0.1551925164,0.9517024568,-0.1068949732,-7.7535216605,0.7621084863
0.1551925164,0.9517024568,-0.1068949732,-7.7858711901,0.7694604204
0.1551925164,0.9517024568,-0.1068949732,-7.9975289208,0.7723683904
0.1551925164,0.9517024568,-0.1068949732,-8.1993250858,0.7755487426
