Hav,OmM,OmR,OomQ,target,z
0.0715898516,0.1551925164,0.9517024568,-0.1068949732,0.0,0.0
0.0718244386,0.1551925164,0.9517024568,-0.1068949732,-0.1153177561,0.0035267214
0.0720794424,0.1551925164,0.9517024568,-0.1068949732,-0.1157988891,0.0077136727
0.0723355024,0.1551925164,0.9517024568,-0.1068949732,-0.1162820295,0.0119180929
0.0725926129,0.1551925164,0.9517024568,-0.1068949732,-0.1167671857,0.016140055
0.0728507688,0.1551925164,0.9517024568,-0.1068949732,-0.117254366,0.0203796321
0.0730850268,0.1551925164,0.9517024568,-0.1068949732,-0.2374480573,0.0238297175
0.0733451613,0.1551925164,0.9517024568,-0.1068949732,-0.2384387469,0.0281013777
0.0736063295,0.1551925164,0.9517024568,-0.1068949732,-0.2394335699,0.0323908602
0.0738685282,0.1551925164,0.9517024568,-0.1068949732,-0.2404325434,0.0366982395
0.0741317543,0.1551925164,0.9517024568,-0.1068949732,-0.241435685,0.0410235902
0.0743651276,0.1551925164,0.9517024568,-0.1068949732,-0.3674189733,0.0443862952
0.074630282,0.1551925164,0.9517024568,-0.1068949732,-0.3689519323,0.0487437223
0.074896457,0.1551925164,0.9517024568,-0.1068949732,-0.3704912872,0.0531193296
0.075163651,0.1551925164,0.9517024568,-0.1068949732,-0.3720370646,0.057513193
0.0754318623,0.1551925164,0.9517024568,-0.1068949732,-0.3735892914,0.0619253886
0.07566428,0.1551925164,0.9517024568,-0.1068949732,-0.5045363092,0.065203168
0.0759343836,0.1551925164,0.9517024568,-0.1068949732,-0.5066413543,0.069647448
0.0762055012,0.1551925164,0.9517024568,-0.1068949732,-0.5087551821,0.0741102706
0.0764776319,0.1551925164,0.9517024568,-0.1068949732,-0.5108778292,0.0785917132
0.0767507752,0.1551925164,0.9517024568,-0.1068949732,-0.5130093326,0.0830918534
0.0769817557,0.1551925164,0.9517024568,-0.1068949732,-0.6498793999,0.0862726105
0.0772567636,0.1551925164,0.9517024568,-0.1068949732,-0.6525908507,0.0908047972
0.0775327831,0.1551925164,0.9517024568,-0.1068949732,-0.6553136144,0.0953558933
0.077809814,0.1551925164,0.9517024568,-0.1068949732,-0.6580477381,0.0999259777
