OmM,OmR,OomQ,target,z
0.1551925164,0.9517024568,-0.1068949732,-0.0,0.0
0.1551925164,0.9517024568,-0.1068949732,-0.0133208205,0.0035267214
0.1551925164,0.9517024568,-0.1068949732,-0.0178428697,0.0077136727
0.1551925164,0.9517024568,-0.1068949732,-0.022384571,0.0119180929
0.1551925164,0.9517024568,-0.1068949732,-0.0269470035,0.016140055
0.1551925164,0.9517024568,-0.1068949732,-0.0315311923,0.0203796321
0.1551925164,0.9517024568,-0.1068949732,-0.0448238803,0.0238297175
0.1551925164,0.9517024568,-0.1068949732,-0.0494902462,0.0281013777
0.1551925164,0.9517024568,-0.1068949732,-0.0541812477,0.0323908602
0.1551925164,0.9517024568,-0.1068949732,-0.0588977471,0.0366982395
0.1551925164,0.9517024568,-0.1068949732,-0.0636405738,0.0410235902
0.1551925164,0.9517024568,-0.1068949732,-0.0769751188,0.0443862952
0.1551925164,0.9517024568,-0.1068949732,-0.0818077386,0.0487437223
0.1551925164,0.9517024568,-0.1068949732,-0.0866690772,0.0531193296
0.1551925164,0.9517024568,-0.1068949732,-0.0915598617,0.057513193
0.1551925164,0.9517024568,-0.1068949732,-0.096480798,0.0619253886
0.1551925164,0.9517024568,-0.1068949732,-0.1097993035,0.065203168
0.1551925164,0.9517024568,-0.1068949732,-0.1148159804,0.069647448
0.1551925164,0.9517024568,-0.1068949732,-0.1198648844,0.0741102706
0.1551925164,0.9517024568,-0.1068949732,-0.124946654,0.0785917132
0.1551925164,0.9517024568,-0.1068949732,-0.1300619133,0.0830918534
0.1551925164,0.9517024568,-0.1068949732,-0.1434218692,0.0862726105
0.1551925164,0.9517024568,-0.1068949732,-0.1486380769,0.0908047972
0.1551925164,0.9517024568,-0.1068949732,-0.1538896356,0.0953558933
0.1551925164,0.9517024568,-0.1068949732,-0.1591771238,0.0999259777
0.1551925164,0.9517024568,-0.1068949732,-0.1645011097,0.1045151295
0.1551925164,0.9517024568,-0.1068949732,-0.1779015161,0.1075932235
0.1551925164,0.9517024568,-0.1068949732,-0.1833309661,0.1122143649
0.1551925164,0.9517024568,-0.1068949732,-0.1887986256,0.1168547868
0.1551925164,0.9517024568,-0.1068949732,-0.1943050309,0.1215145696
0.1551925164,0.9517024568,-0.1068949732,-0.1998507114,0.1261937941
