f2,target,z
0.1,0.3720708391,0.1
0.1,0.3820983669,0.1183673469
0.1,0.3926043684,0.1367346939
0.1,0.4035556083,0.1551020408
0.1,0.4149259369,0.1734693878
0.1,0.4266944427,0.1918367347
0.1,0.4388441626,0.2102040816
0.1,0.4513611599,0.2285714286
0.1,0.4642338509,0.2469387755
0.1,0.4774525046,0.2653061224
0.1,0.4910088648,0.2836734694
0.1,0.5048958603,0.3020408163
0.1,0.5191073802,0.3204081633
0.1,0.533638098,0.3387755102
0.1,0.5484833314,0.3571428571
0.1,0.5636389305,0.3755102041
0.1,0.5791011881,0.393877551
0.1,0.5948667653,0.412244898
0.1,0.6109326324,0.4306122449
0.1,0.6272960189,0.4489795918
0.1,0.6439543725,0.4673469388
0.1,0.6609053251,0.4857142857
0.1,0.6781466641,0.5040816327
0.1,0.6956763084,0.5224489796
0.1,0.7134922878,0.5408163265
0.1,0.7315927263,0.5591836735
0.1,0.7499758273,0.5775510204
0.1,0.7686398612,0.5959183673
0.1,0.7875831544,0.6142857143
0.1,0.806804081,0.6326530612
0.1,0.8263010543,0.6510204082
0.1,0.8460725203,0.6693877551
0.1,0.8661169523,0.687755102
0.1,0.8864328457,0.706122449
0.1,0.9070187135,0.7244897959
0.1,0.9278730834,0.7428571429
0.1,0.9489944938,0.7612244898
0.1,0.9703814917,0.7795918367
0.1,0.9920326305,0.7979591837
0.1,1.0139464675,0.8163265306
0.1,1.0361215626,0.8346938776
0.1,1.058556477,0.8530612245
0.1,1.0812497717,0.8714285714
0.1,1.1042000068,0.8897959184
0.1,1.1274057404,0.9081632653
0.1,1.1508655284,0.9265306122
0.1,1.1745779233,0.9448979592
0.1,1.1985414744,0.9632653061
0.1,1.2227547272,0.9816326531
0.1,1.2472162231,1.0
0.1030612245,0.3849941547,0.1
0.1030612245,0.3953414131,0.1183673469
0.1030612245,0.4061808547,0.1367346939
0.1030612245,0.4174779361,0.1551020408
0.1030612245,0.4292054488,0.1734693878
0.1030612245,0.4413416062,0.1918367347
0.1030612245,0.4538687085,0.2102040816
0.1030612245,0.4667721879,0.2285714286
0.1030612245,0.4800399117,0.2469387755
0.1030612245,0.4936616643,0.2653061224
0.1030612245,0.5076287561,0.2836734694
0.1030612245,0.5219337236,0.3020408163
0.1030612245,0.5365700972,0.3204081633
0.1030612245,0.5515322187,0.3387755102
0.1030612245,0.5668150964,0.3571428571
0.1030612245,0.5824142899,0.3755102041
0.1030612245,0.5983258165,0.393877551
0.1030612245,0.6145460754,0.412244898
0.1030612245,0.6310717855,0.4306122449
0.1030612245,0.6478999344,0.4489795918
0.1030612245,0.665027736,0.4673469388
0.1030612245,0.6824525951,0.4857142857
0.1030612245,0.7001720779,0.5040816327
0.1030612245,0.7181838874,0.5224489796
0.1030612245,0.7364858422,0.5408163265
0.1030612245,0.7550758589,0.5591836735
0.1030612245,0.7739519371,0.5775510204
0.1030612245,0.7931121467,0.5959183673
0.1030612245,0.8125546165,0.6142857143
0.1030612245,0.8322775257,0.6326530612
0.1030612245,0.8522790951,0.6510204082
0.1030612245,0.8725575807,0.6693877551
0.1030612245,0.8931112677,0.687755102
0.1030612245,0.9139384655,0.706122449
0.1030612245,0.9350375033,0.7244897959
0.1030612245,0.9564067264,0.7428571429
0.1030612245,0.9780444931,0.7612244898
0.1030612245,0.999949172,0.7795918367
0.1030612245,1.0221191396,0.7979591837
0.1030612245,1.0445527781,0.8163265306
0.1030612245,1.0672484743,0.8346938776
0.1030612245,1.0902046178,0.8530612245
0.1030612245,1.1134195996,0.8714285714
0.1030612245,1.1368918116,0.8897959184
0.1030612245,1.1606196457,0.9081632653
0.1030612245,1.1846014928,0.9265306122
0.1030612245,1.2088357427,0.9448979592
0.1030612245,1.2333207833,0.9632653061
0.1030612245,1.2580550007,0.9816326531
0.1030612245,1.2830367788,1.0
0.106122449,0.3980210602,0.1
0.106122449,0.4086886427,0.1183673469
0.106122449,0.4198620266,0.1367346939
0.106122449,0.4315053402,0.1551020408
0.106122449,0.4435902979,0.1734693878
0.106122449,0.4560942216,0.1918367347
0.106122449,0.4689986597,0.2102040816
0.106122449,0.4822883989,0.2285714286
0.106122449,0.4959507442,0.2469387755
0.106122449,0.5099749825,0.2653061224
0.106122449,0.5243519787,0.2836734694
0.106122449,0.5390738654,0.3020408163
0.106122449,0.5541338026,0.3204081633
0.106122449,0.5695257893,0.3387755102
0.106122449,0.585244514,0.3571428571
0.106122449,0.6012852352,0.3755102041
0.106122449,0.6176436846,0.393877551
0.106122449,0.6343159894,0.412244898
0.106122449,0.6512986076,0.4306122449
0.106122449,0.6685882755,0.4489795918
0.106122449,0.6861819637,0.4673469388
0.106122449,0.7040768412,0.4857142857
0.106122449,0.7222702444,0.5040816327
0.106122449,0.7407596518,0.5224489796
0.106122449,0.7595426623,0.5408163265
0.106122449,0.7786169773,0.5591836735
0.106122449,0.7979803849,0.5775510204
0.106122449,0.8176307467,0.5959183673
0.106122449,0.8375659869,0.6142857143
0.106122449,0.8577840825,0.6326530612
0.106122449,0.8782830552,0.6510204082
0.106122449,0.8990609641,0.6693877551
0.106122449,0.9201159002,0.687755102
0.106122449,0.9414459809,0.706122449
0.106122449,0.9630493455,0.7244897959
0.106122449,0.9849241518,0.7428571429
0.106122449,1.0070685726,0.7612244898
0.106122449,1.0294807927,0.7795918367
0.106122449,1.0521590072,0.7979591837
0.106122449,1.0751014189,0.8163265306
0.106122449,1.0983062371,0.8346938776
0.106122449,1.1217716755,0.8530612245
0.106122449,1.1454959519,0.8714285714
0.106122449,1.1694772865,0.8897959184
0.106122449,1.1937139015,0.9081632653
0.106122449,1.2182040202,0.9265306122
0.106122449,1.2429458669,0.9448979592
0.106122449,1.2679376659,0.9632653061
0.106122449,1.2931776419,0.9816326531
0.106122449,1.3186640191,1.0
0.1091836735,0.4111527882,0.1
0.1091836735,0.4221412679,0.1183673469
0.1091836735,0.4336490724,0.1367346939
0.1091836735,0.4456389806,0.1551020408
0.1091836735,0.4580816116,0.1734693878
0.1091836735,0.470953379,0.1918367347
0.1091836735,0.4842350637,0.2102040816
0.1091836735,0.4979107929,0.2285714286
0.1091836735,0.5119672954,0.2469387755
0.1091836735,0.5263933481,0.2653061224
0.1091836735,0.5411793577,0.2836734694
0.1091836735,0.5563170411,0.3020408163
0.1091836735,0.5717991765,0.3204081633
0.1091836735,0.5876194091,0.3387755102
0.1091836735,0.6037720967,0.3571428571
0.1091836735,0.620252186,0.3755102041
0.1091836735,0.6370551133,0.393877551
0.1091836735,0.6541767237,0.412244898
0.1091836735,0.6716132046,0.4306122449
0.1091836735,0.6893610317,0.4489795918
0.1091836735,0.7074169235,0.4673469388
0.1091836735,0.7257778039,0.4857142857
0.1091836735,0.744440771,0.5040816327
0.1091836735,0.7634030704,0.5224489796
0.1091836735,0.7826620735,0.5408163265
0.1091836735,0.8022152583,0.5591836735
0.1091836735,0.8220601938,0.5775510204
0.1091836735,0.8421945263,0.5959183673
0.1091836735,0.862615968,0.6142857143
0.1091836735,0.883322287,0.6326530612
0.1091836735,0.9043112992,0.6510204082
0.1091836735,0.9255808608,0.6693877551
0.1091836735,0.9471288625,0.687755102
0.1091836735,0.9689532239,0.706122449
