feature,target
-10.0,-98010.0
-9.97997997997998,-97024.96695496379
-9.95995995995996,-96047.85390216816
-9.93993993993994,-95078.61308228571
-9.91991991991992,-94117.19692798707
-9.8998998998999,-93163.55806355501
-9.87987987987988,-92217.64930449857
-9.85985985985986,-91279.42365716706
-9.83983983983984,-90348.83431836416
-9.81981981981982,-89425.83467496197
-9.7997997997998,-88510.37830351513
-9.77977977977978,-87602.41896987491
-9.75975975975976,-86701.91062880318
-9.73973973973974,-85808.80742358658
-9.71971971971972,-84923.06368565056
-9.6996996996997,-84044.63393417347
-9.67967967967968,-83173.47287570061
-9.65965965965966,-82309.53540375832
-9.63963963963964,-81452.77659846804
-9.61961961961962,-80603.15172616045
-9.5995995995996,-79760.6162389894
-9.57957957957958,-78925.12577454615
-9.55955955955956,-78096.63615547334
-9.53953953953954,-77275.1033890791
-9.51951951951952,-76460.48366695108
-9.4994994994995,-75652.7333645706
-9.47947947947948,-74851.80904092672
-9.45945945945946,-74057.6674381302
-9.43943943943944,-73270.26548102769
-9.41941941941942,-72489.56027681577
-9.3993993993994,-71715.50911465503
-9.37937937937938,-70948.06946528412
-9.35935935935936,-70187.19898063385
-9.33933933933934,-69432.85549344125
-9.31931931931932,-68684.99701686366
-9.2992992992993,-67943.58174409276
-9.27927927927928,-67208.56804796873
-9.25925925925926,-66479.91448059423
-9.23923923923924,-65757.57977294856
-9.21921921921922,-65041.5228345016
-9.1991991991992,-64331.70275282809
-9.17917917917918,-63628.078793221495
-9.15915915915916,-62930.610398308236
-9.13913913913914,-62239.25718766167
-9.11911911911912,-61553.978957416206
-9.0990990990991,-60874.735679881356
-9.07907907907908,-60201.487503155826
-9.05905905905906,-59534.194750741604
-9.03903903903904,-58872.817921158
-9.01901901901902,-58217.317687555726
-8.998998998999,-57567.654897331005
-8.97897897897898,-56923.79057173961
-8.95895895895896,-56285.68590551095
-8.93893893893894,-55653.302266462146
-8.91891891891892,-55026.60119511209
-8.8988988988989,-54405.544404295535
-8.87887887887888,-53790.09377877717
-8.85885885885886,-53180.211374865714
-8.83883883883884,-52575.85942002794
-8.81881881881882,-51977.000312502765
-8.7987987987988,-51383.596620915356
-8.77877877877878,-50795.611083891185
-8.75875875875876,-50213.00660967008
-8.73873873873874,-49635.74627572035
-8.71871871871872,-49063.7933283528
-8.6986986986987,-48497.11118233486
-8.67867867867868,-47935.663420504636
-8.65865865865866,-47379.41379338495
-8.63863863863864,-46828.32621879747
-8.618618618618619,-46282.36478147677
-8.598598598598599,-45741.49373268437
-8.578578578578579,-45205.67748982286
-8.558558558558559,-44674.88063604994
-8.538538538538539,-44149.06791989249
-8.518518518518519,-43628.20425486068
-8.498498498498499,-43112.25471906202
-8.478478478478479,-42601.18455481541
-8.458458458458459,-42094.959168265275
-8.438438438438439,-41593.54412899559
-8.418418418418419,-41096.90516964397
-8.398398398398399,-40605.00818551575
-8.378378378378379,-40117.81923419803
-8.358358358358359,-39635.304535173804
-8.338338338338339,-39157.43046943597
-8.318318318318319,-38684.16357910148
-8.298298298298299,-38215.47056702531
-8.278278278278279,-37751.31829641465
-8.258258258258259,-37291.6737904429
-8.238238238238239,-36836.504231863764
-8.218218218218219,-36385.776962625336
-8.198198198198199,-35939.459483484155
-8.178178178178179,-35497.519453619316
-8.158158158158159,-35059.92469024648
-8.138138138138139,-34626.64316823202
-8.118118118118119,-34197.64301970704
-8.098098098098099,-33772.89253368147
-8.078078078078079,-33352.36015565816
-8.058058058058059,-32936.01448724693
-8.038038038038039,-32523.82428577864
-8.018018018018019,-32115.75846391928
-7.997997997997998,-31711.786089284007
-7.977977977977978,-31311.87638405133
-7.957957957957958,-30915.99872457703
-7.937937937937938,-30524.12264100834
-7.917917917917918,-30136.217816897974
-7.897897897897898,-29752.25408881822
-7.877877877877878,-29372.20144597502
-7.857857857857858,-28996.030029822014
-7.837837837837838,-28623.710133674656
-7.817817817817818,-28255.212202324255
-7.797797797797798,-27890.506831652056
-7.777777777777778,-27529.564768243323
-7.757757757757758,-27172.356909001406
-7.737737737737738,-26818.854300761832
-7.717717717717718,-26469.02813990634
-7.697697697697698,-26122.849771977002
-7.677677677677678,-25780.29069129027
-7.657657657657658,-25441.32254055105
-7.637637637637638,-25105.91711046679
-7.617617617617618,-24774.046339361536
-7.597597597597598,-24445.682312790028
-7.5775775775775776,-24120.79726315176
-7.5575575575575575,-23799.36356930505
-7.5375375375375375,-23481.353756181128
-7.5175175175175175,-23166.740494398207
-7.4974974974974975,-22855.49659987554
-7.4774774774774775,-22547.59503344752
-7.4574574574574575,-22243.008900477736
-7.4374374374374375,-21941.71145047306
-7.4174174174174174,-21643.676076697713
-7.397397397397397,-21348.87631578733
-7.377377377377377,-21057.28584736306
-7.357357357357357,-20768.87849364561
-7.337337337337337,-20483.628219069356
-7.317317317317317,-20201.50912989637
-7.297297297297297,-19922.495473830546
-7.277277277277277,-19646.56163963163
-7.257257257257257,-19373.682156729312
-7.237237237237237,-19103.83169483731
-7.217217217217217,-18836.985063567434
-7.197197197197197,-18573.117212043657
-7.177177177177177,-18312.203228516188
-7.157157157157157,-18054.21833997557
-7.137137137137137,-17799.137911766713
-7.117117117117117,-17546.937447203007
-7.097097097097097,-17297.592587180374
-7.077077077077077,-17051.079109791353
-7.057057057057057,-16807.372929939163
-7.037037037037037,-16566.450098951787
-7.017017017017017,-16328.286804196046
-6.996996996996997,-16092.859368691668
-6.976976976976977,-15860.144250725361
-6.956956956956957,-15630.118043464896
-6.936936936936937,-15402.75747457317
-6.916916916916917,-15178.039405822297
-6.896896896896897,-14955.940832707665
-6.876876876876877,-14736.438884062014
-6.856856856856857,-14519.510821669515
-6.836836836836837,-14305.134039879846
-6.816816816816817,-14093.286065222255
-6.796796796796797,-13883.94455601965
-6.776776776776776,-13677.087302002648
-6.756756756756756,-13472.692223923701
-6.736736736736736,-13270.737373171105
-6.716716716716716,-13071.200931383106
-6.696696696696696,-12874.061210061987
-6.676676676676676,-12679.296650188116
-6.656656656656656,-12486.88582183404
-6.636636636636636,-12296.807423778544
-6.616616616616616,-12109.040283120741
-6.596596596596596,-11923.563354894133
-6.576576576576576,-11740.35572168069
-6.556556556556556,-11559.396593224925
-6.536536536536536,-11380.665306047968
-6.516516516516516,-11204.14132306164
-6.496496496496496,-11029.804233182529
-6.476476476476476,-10857.633750946057
-6.456456456456456,-10687.609716120563
-6.436436436436436,-10519.712093321374
