H0,omega_Q0,omega_R0,omega_m0,target,z
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0037207084,0.1
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0038209837,0.1183673469
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0039260437,0.1367346939
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0040355561,0.1551020408
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0041492594,0.1734693878
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0042669444,0.1918367347
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0043884416,0.2102040816
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0045136116,0.2285714286
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0046423385,0.2469387755
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.004774525,0.2653061224
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0049100886,0.2836734694
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0050489586,0.3020408163
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0051910738,0.3204081633
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.005336381,0.3387755102
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0054848333,0.3571428571
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0056363893,0.3755102041
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0057910119,0.393877551
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0059486677,0.412244898
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0061093263,0.4306122449
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0062729602,0.4489795918
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0064395437,0.4673469388
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0066090533,0.4857142857
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0067814666,0.5040816327
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0069567631,0.5224489796
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0071349229,0.5408163265
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0073159273,0.5591836735
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0074997583,0.5775510204
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0076863986,0.5959183673
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0078758315,0.6142857143
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0080680408,0.6326530612
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0082630105,0.6510204082
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0084607252,0.6693877551
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0086611695,0.687755102
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0088643285,0.706122449
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0090701871,0.7244897959
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0092787308,0.7428571429
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0094899449,0.7612244898
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0097038149,0.7795918367
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0099203263,0.7979591837
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0101394647,0.8163265306
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0103612156,0.8346938776
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0105855648,0.8530612245
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0108124977,0.8714285714
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0110420001,0.8897959184
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0112740574,0.9081632653
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0115086553,0.9265306122
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,0.0117457792,0.9448979592
