H,h,target,v
0.077809953,-2.3186135905,0.0037207084,0.00884062
0.0789570717,-2.0520449333,0.0038209837,0.0103897873
0.0801049407,-1.8291311564,0.0039260437,0.0120324345
0.0812534019,-1.6399942921,0.0040355561,0.0137636422
0.0824023301,-1.4775218504,0.0041492594,0.015578851
0.0835516259,-1.3364633371,0.0042669444,0.0174738177
0.0847012109,-1.2128590345,0.0043884416,0.0194445794
0.0858510235,-1.1036667753,0.0045136116,0.0214874228
0.0870010161,-1.0065110484,0.0046423385,0.0235988592
0.0881511526,-0.9195101021,0.004774525,0.0257756021
0.0893014065,-0.8411541608,0.0049100886,0.0280145494
0.0904517592,-0.7702179639,0.0050489586,0.030312766
0.0916021992,-0.7056968527,0.0051910738,0.0326674706
0.0927527205,-0.6467593306,0.005336381,0.0350760229
0.0939033222,-0.5927113502,0.0054848333,0.0375359123
0.0950540078,-0.5429690804,0.0056363893,0.0400447488
0.0962047842,-0.4970378953,0.0057910119,0.0426002537
0.0973556615,-0.454495989,0.0059486677,0.0452002521
0.0985066526,-0.4149814705,0.0061093263,0.0478426658
0.0996577727,-0.3781821055,0.0062729602,0.0505255071
0.1008090391,-0.3438270951,0.0064395437,0.0532468728
0.101960471,-0.3116804331,0.0066090533,0.0560049395
0.1031120888,-0.2815355004,0.0067814666,0.0587979582
0.1042639146,-0.2532106356,0.0069567631,0.0616242505
0.1054159716,-0.226545483,0.0071349229,0.0644822042
0.1065682839,-0.2013979623,0.0073159273,0.0673702701
0.1077208767,-0.1776417412,0.0074997583,0.0702869583
0.1088737757,-0.155164115,0.0076863986,0.0732308352
0.1100270076,-0.1338642206,0.0078758315,0.0762005207
0.1111805993,-0.1136515224,0.0080680408,0.0791946853
0.1123345786,-0.0944445259,0.0082630105,0.082212048
0.1134889733,-0.0761696778,0.0084607252,0.0852513737
0.1146438119,-0.058760423,0.0086611695,0.0883114712
0.1157991231,-0.0421563926,0.0088643285,0.0913911912
0.1169549357,-0.0263027026,0.0090701871,0.0944894243
0.1181112787,-0.0111493452,0.0092787308,0.0976050995
0.1192681816,0.00334934,0.0094899449,0.1007371823
0.1204256736,0.017235128,0.0097038149,0.1038846732
0.1215837841,0.030546313,0.0099203263,0.1070466065
0.1227425427,0.0433180623,0.0101394647,0.1102220486
0.1239019789,0.0555827296,0.0103612156,0.1134100969
0.1250621222,0.0673701302,0.0105855648,0.1166098786
0.126223002,0.0787077851,0.0108124977,0.1198205496
0.1273846479,0.089621137,0.0110420001,0.1230412931
0.1285470891,0.1001337432,0.0112740574,0.1262713188
0.1297103549,0.1102674466,0.0115086553,0.1295098621
0.1308744745,0.1200425289,0.0117457792,0.1327561829
0.132039477,0.1294778472,0.0119854147,0.1360095647
0.1332053912,0.1385909576,0.0122275473,0.1392693141
0.134372246,0.1473982245,0.0124721622,0.1425347595
0.0777771112,-2.3173098771,0.0038499415,0.0091465034
0.0789183847,-2.0506845402,0.0039534141,0.0107498303
