H0,a,a_tt,omega_m0,target
0.0715898516,0.9090909091,0.0006462836,0.1551925164,0.0037207084
0.0715898516,0.8941605839,0.0006414498,0.1551925164,0.0038209837
0.0715898516,0.8797127469,0.0006373833,0.1551925164,0.0039260437
0.0715898516,0.8657243816,0.0006339388,0.1551925164,0.0040355561
0.0715898516,0.852173913,0.0006310002,0.1551925164,0.0041492594
0.0715898516,0.8390410959,0.0006284732,0.1551925164,0.0042669444
0.0715898516,0.826306914,0.0006262802,0.1551925164,0.0043884416
0.0715898516,0.8139534884,0.0006243562,0.1551925164,0.0045136116
0.0715898516,0.8019639935,0.0006226467,0.1551925164,0.0046423385
0.0715898516,0.7903225806,0.0006211049,0.1551925164,0.004774525
0.0715898516,0.7790143084,0.0006196907,0.1551925164,0.0049100886
0.0715898516,0.7680250784,0.0006183692,0.1551925164,0.0050489586
0.0715898516,0.7573415765,0.0006171099,0.1551925164,0.0051910738
0.0715898516,0.7469512195,0.000615886,0.1551925164,0.005336381
0.0715898516,0.7368421053,0.0006146736,0.1551925164,0.0054848333
0.0715898516,0.7270029674,0.0006134515,0.1551925164,0.0056363893
0.0715898516,0.7174231332,0.0006122006,0.1551925164,0.0057910119
0.0715898516,0.7080924855,0.0006109036,0.1551925164,0.0059486677
0.0715898516,0.6990014265,0.000609545,0.1551925164,0.0061093263
0.0715898516,0.6901408451,0.0006081104,0.1551925164,0.0062729602
0.0715898516,0.6815020862,0.0006065869,0.1551925164,0.0064395437
0.0715898516,0.6730769231,0.0006049626,0.1551925164,0.0066090533
0.0715898516,0.6648575305,0.0006032263,0.1551925164,0.0067814666
0.0715898516,0.6568364611,0.0006013678,0.1551925164,0.0069567631
0.0715898516,0.6490066225,0.0005993777,0.1551925164,0.0071349229
0.0715898516,0.6413612565,0.0005972472,0.1551925164,0.0073159273
0.0715898516,0.6338939198,0.0005949679,0.1551925164,0.0074997583
0.0715898516,0.6265984655,0.0005925321,0.1551925164,0.0076863986
0.0715898516,0.6194690265,0.0005899325,0.1551925164,0.0078758315
0.0715898516,0.6125,0.0005871624,0.1551925164,0.0080680408
0.0715898516,0.6056860321,0.0005842152,0.1551925164,0.0082630105
0.0715898516,0.5990220049,0.0005810848,0.1551925164,0.0084607252
0.0715898516,0.592503023,0.0005777654,0.1551925164,0.0086611695
0.0715898516,0.5861244019,0.0005742515,0.1551925164,0.0088643285
0.0715898516,0.5798816568,0.000570538,0.1551925164,0.0090701871
0.0715898516,0.5737704918,0.0005666197,0.1551925164,0.0092787308
0.0715898516,0.5677867903,0.0005624919,0.1551925164,0.0094899449
0.0715898516,0.5619266055,0.0005581502,0.1551925164,0.0097038149
0.0715898516,0.5561861521,0.0005535901,0.1551925164,0.0099203263
0.0715898516,0.5505617978,0.0005488075,0.1551925164,0.0101394647
0.0715898516,0.5450500556,0.0005437984,0.1551925164,0.0103612156
0.0715898516,0.5396475771,0.000538559,0.1551925164,0.0105855648
0.0715898516,0.534351145,0.0005330855,0.1551925164,0.0108124977
0.0715898516,0.5291576674,0.0005273745,0.1551925164,0.0110420001
0.0715898516,0.5240641711,0.0005214225,0.1551925164,0.0112740574
0.0715898516,0.5190677966,0.0005152263,0.1551925164,0.0115086553
0.0715898516,0.5141657922,0.0005087826,0.1551925164,0.0117457792
0.0715898516,0.5093555094,0.0005020885,0.1551925164,0.0119854147
0.0715898516,0.5046343975,0.000495141,0.1551925164,0.0122275473
0.0715898516,0.5,0.0004879372,0.1551925164,0.0124721622
0.0715898516,0.9090909091,0.000668528,0.1606484338,0.0038499415
0.0715898516,0.8941605839,0.0006634344,0.1606484338,0.0039534141
0.0715898516,0.8797127469,0.0006591288,0.1606484338,0.0040618085
0.0715898516,0.8657243816,0.0006554607,0.1606484338,0.0041747794
0.0715898516,0.852173913,0.0006523099,0.1606484338,0.0042920545
0.0715898516,0.8390410959,0.0006495787,0.1606484338,0.0044134161
0.0715898516,0.826306914,0.0006471865,0.1606484338,0.0045386871
0.0715898516,0.8139534884,0.0006450662,0.1606484338,0.0046677219
0.0715898516,0.8019639935,0.0006431611,0.1606484338,0.0048003991
0.0715898516,0.7903225806,0.0006414227,0.1606484338,0.0049366166
0.0715898516,0.7790143084,0.0006398095,0.1606484338,0.0050762876
0.0715898516,0.7680250784,0.0006382852,0.1606484338,0.0052193372
0.0715898516,0.7573415765,0.0006368183,0.1606484338,0.005365701
0.0715898516,0.7469512195,0.0006353809,0.1606484338,0.0055153222
0.0715898516,0.7368421053,0.0006339481,0.1606484338,0.005668151
0.0715898516,0.7270029674,0.0006324981,0.1606484338,0.0058241429
0.0715898516,0.7174231332,0.0006310108,0.1606484338,0.0059832582
0.0715898516,0.7080924855,0.0006294685,0.1606484338,0.0061454608
0.0715898516,0.6990014265,0.0006278549,0.1606484338,0.0063107179
0.0715898516,0.6901408451,0.0006261552,0.1606484338,0.0064789993
0.0715898516,0.6815020862,0.000624356,0.1606484338,0.0066502774
0.0715898516,0.6730769231,0.0006224447,0.1606484338,0.006824526
0.0715898516,0.6648575305,0.0006204099,0.1606484338,0.0070017208
