H0,omega_Q0,omega_R0,omega_m0,target,z
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-4.08e-08,0.1
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.92e-08,0.1183673469
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.76e-08,0.1367346939
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.61e-08,0.1551020408
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.48e-08,0.1734693878
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.35e-08,0.1918367347
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.22e-08,0.2102040816
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.1e-08,0.2285714286
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.99e-08,0.2469387755
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.89e-08,0.2653061224
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.79e-08,0.2836734694
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.69e-08,0.3020408163
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.6e-08,0.3204081633
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.51e-08,0.3387755102
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.43e-08,0.3571428571
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.35e-08,0.3755102041
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.27e-08,0.393877551
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.2e-08,0.412244898
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.13e-08,0.4306122449
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.07e-08,0.4489795918
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2e-08,0.4673469388
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.94e-08,0.4857142857
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.88e-08,0.5040816327
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.83e-08,0.5224489796
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.77e-08,0.5408163265
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.72e-08,0.5591836735
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.67e-08,0.5775510204
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.62e-08,0.5959183673
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.58e-08,0.6142857143
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.53e-08,0.6326530612
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.49e-08,0.6510204082
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.45e-08,0.6693877551
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.41e-08,0.687755102
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.37e-08,0.706122449
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.34e-08,0.7244897959
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.3e-08,0.7428571429
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.27e-08,0.7612244898
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.23e-08,0.7795918367
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.2e-08,0.7979591837
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.17e-08,0.8163265306
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.14e-08,0.8346938776
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.11e-08,0.8530612245
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.09e-08,0.8714285714
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.06e-08,0.8897959184
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.03e-08,0.9081632653
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.01e-08,0.9265306122
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-9.8e-09,0.9448979592
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-9.6e-09,0.9632653061
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-9.4e-09,0.9816326531
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-9.2e-09,1.0
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-4.07e-08,0.1
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.9e-08,0.1183673469
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.74e-08,0.1367346939
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.6e-08,0.1551020408
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.46e-08,0.1734693878
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.33e-08,0.1918367347
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.2e-08,0.2102040816
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.09e-08,0.2285714286
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.97e-08,0.2469387755
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.87e-08,0.2653061224
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.77e-08,0.2836734694
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.67e-08,0.3020408163
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.58e-08,0.3204081633
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.49e-08,0.3387755102
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.41e-08,0.3571428571
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.33e-08,0.3755102041
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.25e-08,0.393877551
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.18e-08,0.412244898
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.11e-08,0.4306122449
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-2.05e-08,0.4489795918
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.98e-08,0.4673469388
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.92e-08,0.4857142857
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.86e-08,0.5040816327
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.81e-08,0.5224489796
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.75e-08,0.5408163265
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.7e-08,0.5591836735
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.65e-08,0.5775510204
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.61e-08,0.5959183673
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.56e-08,0.6142857143
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.52e-08,0.6326530612
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.47e-08,0.6510204082
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.43e-08,0.6693877551
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.39e-08,0.687755102
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-1.36e-08,0.706122449
