method,mse,equation,run_time
AI-Feynman,1.3715038872438331e-10,0.071567662220+((x1*sin(((sqrt(log(pi))+1)+1)))-x0),08:53:26
DSO,0.00036475267665300005,"
         ____         cos(x₁)
       ╲╱ x₂   -x₁ - ℯ
-x₁ + ℯ      ⋅ℯ              ",03:02:26
DSR,0.00015927663530400002,"
           ⎛   ________      ⎞
           ⎜4 ╱   2      -1/4⎟
-2⋅x₁ + sin⎝╲╱  x₁ ⋅x₂ ⋅ℯ    ⎠",01:20:14
FFX,8.46541456001751e-06,0.0704 - 0.946*X0 + 0.0660*X1,00:00:20
GeneticEngine,3.9676287935654355e-05,2*H**3/(z*log(Abs(z) + 1)) - 1.53112654012763*H**2 - 0.574959574576069*H**2/z - 0.2*H**2/(z*log(Abs(z) + 1)) - 0.1*H*z/(z*log(Abs(z) + 1) - 0.01*log(Abs(z) + 1)) + 0.01*z/(z*log(Abs(z) + 1) - 0.01*log(Abs(z) + 1)) + 0.0287479787288034*z/(z - 0.01) + 0.0316227766016838*z*log(0.1*Abs(z) + 1)/H,04:00:03
gpg,4.684119911891619e-10,-1.00006139278412*x_0 + 0.0715583935379982*x_1 + 0.0716389864683151,00:43:55
gpzgd,1.6298002457510662e-31,"1.7062e-02+4.88621e-02*(((8.10033e-01*X[:,1])+(-1.17105e+00*X[:,0])))",04:00:04
ITEA,1.5180552533449953e-32,7.15898e-2 + 3.80853e-10*Cos(x0^(5)*x1^(-2)) + 7.15899e-2*(x1) + -1.0*Sqrt(Abs(x0^(2))),00:37:57
Operon,0.00110348002746,(0.09842 + ((-73.22305) * (0.00854 * X1))),00:00:26
PySR,1.0775381885059352e-31,-H + 0.07158984999999982*z + 0.07158984999999982,01:19:06
QLattice,2.159231601244225e-18,-1.0*H+0.07159*z+0.07159,01:34:42
uDSR,2.166585333735074e-30,-x₁ + 0.0715899⋅x₂ + 0.0715898,00:00:33
