method,mse,equation,run_time
AI-Feynman,0.001204901052976,0.201611804691*(cos((x2+(x2-x1)))/(-x0)),08:53:25
DSO,0.09495137355242,-cos(2⋅x₃),02:49:01
DSR,0.056446657043635,"
         2
-x₁ + sin (x₃)",01:03:59
FFX,0.056878431363340004,"-23.3 - 415*max(0,X0-0.372) * max(0,0.477-X0) + 283*X0 * max(0,0.372-X0) + 187*max(0,5.20-X3) * max(0,0.372-X0) - 172*max(0,X2-12.1) * max(0,0.372-X0) + 72.2*max(0,0.582-X0) * max(0,X0-0.372) + 50.9*max(0,X0-0.582) * max(0,X0-0.895) + 39.8*max(0,5.20-X3) * max(0,0.477-X0) - 38.5*max(0,X3-8.80) * max(0,0.372-X0) + 27.1*max(0,0.582-X0) * max(0,0.372-X0) - 21.0*X0 * max(0,0.477-X0) - 18.7*max(0,X0-0.791) * max(0,X0-0.686) - 18.0*max(0,4.00-X3) * max(0,0.477-X0) - 16.7*max(0,X3-5.20) * max(0,0.372-X0) + 14.9*max(0,X3-8.80) * X0 + 13.0*max(0,0.582-X0) * max(0,X3-7.60) + 9.93*max(0,X0-0.372) * X0 - 9.81*max(0,X3-7.60) * max(0,0.372-X0) - 9.20*max(0,0.477-X0) * max(0,0.372-X0) + 8.83*max(0,0.582-X0) * max(0,0.477-X0) - 8.79*max(0,X0-0.895) * X0 - 8.15*max(0,X0-0.582) * X0 + 8.04*max(0,0.695-X1) - 7.50*max(0,4.00-X3) * max(0,X0-0.895) - 7.09*max(0,X3-8.80) * max(0,X3-7.60) + 6.91*max(0,0.434-X1) + 6.62*max(0,3.30-X2) - 6.40*max(0,X0-0.582) - 6.22*max(0,X2-12.1) * max(0,0.477-X0) - 6.20*max(0,0.372-X0) - 6.07*max(0,X0-0.686) * max(0,X0-0.895) + 6.07*max(0,X3-5.20) * X0 - 4.86*max(0,0.791-X0) + 4.77*max(0,X0-0.477) + 4.33*max(0,0.895-X0) - 4.18*max(0,X0-0.791) * max(0,X0-0.895) - 4.08*max(0,X1-0.695) + 4.04*max(0,4.00-X3) * max(0,0.582-X0) + 3.90*max(0,0.686-X0) - 3.72*X1 + 3.31*max(0,0.582-X0) * X0 + 3.04*max(0,0.956-X1) - 2.71*max(0,0.582-X0) * max(0,X3-8.80) + 2.46*max(0,X3-8.80) * max(0,0.477-X0) + 2.43*max(0,X1-0.434) + 2.40*max(0,2.80-X3) + 2.19*max(0,X0-0.791) + 2.02*max(0,X3-6.40) + 1.96*max(0,4.00-X3) * X0 + 1.89*max(0,X1-1.48) + 1.84*max(0,X0-0.372) + 1.73*max(0,X3-5.20) * max(0,0.477-X0) + 1.66*max(0,X3-7.60) - 1.57*max(0,7.70-X2) - 1.36*max(0,X3-5.20) + 1.26*max(0,6.40-X3) + 1.25*max(0,X3-7.60) * X0 + 1.17*max(0,X2-12.1) * max(0,X0-0.895) - 1.10*max(0,X1-0.956) + 1.05*max(0,X2-12.1) * max(0,X0-0.791) + 1.05*max(0,1.22-X1) + 1.03*max(0,0.582-X0) * max(0,5.20-X3) - 0.994*max(0,X0-0.686) - 0.994*max(0,0.582-X0) + 0.962*max(0,0.477-X0) + 0.915*X1**2 - 0.828*max(0,4.00-X3) * max(0,X0-0.686) - 0.778*max(0,X2-12.1) * X0 - 0.686*max(0,X0-0.895) * max(0,X0-0.372) + 0.618*X0 - 0.615*max(0,X2-14.3) + 0.510*max(0,5.20-X3) * X0 - 0.468*max(0,X0-0.686) * max(0,X0-0.372) - 0.422*max(0,X0-0.582) * max(0,5.20-X3) + 0.410*X0**2 + 0.407*max(0,X2-3.30) + 0.406*max(0,X2-9.90) - 0.362*max(0,4.00-X3) * max(0,X0-0.372) + 0.340*max(0,X3-5.20) * max(0,X3-7.60) + 0.309*max(0,X3-2.80) + 0.280*max(0,9.90-X2) - 0.256*max(0,12.1-X2) + 0.222*max(0,5.20-X3) - 0.208*max(0,5.20-X3) * max(0,X0-0.686) - 0.196*max(0,4.00-X3) + 0.185*max(0,X2-5.50) - 0.184*max(0,X3-8.80) - 0.183*max(0,X2-7.70) - 0.156*max(0,8.80-X3) - 0.142*max(0,5.50-X2) + 0.129*X3 + 0.116*max(0,4.00-X3) * max(0,5.20-X3) + 0.114*max(0,7.60-X3) + 0.110*X2 + 0.106*max(0,X2-12.1) * max(0,X0-0.372) + 0.102*max(0,X1-1.22) - 0.0972*max(0,X3-7.60) * max(0,0.477-X0) + 0.0872*max(0,5.20-X3) * max(0,X0-0.791) - 0.0664*max(0,X3-4.00) - 0.0499*max(0,X0-0.686) * X0 - 0.0497*max(0,X1-1.74) + 0.0487*max(0,X2-12.1) - 0.0313*max(0,X0-0.582) * max(0,X2-12.1) + 0.0245*max(0,4.00-X3) * max(0,X2-12.1) - 0.0174*X3**2 + 0.0106*max(0,14.3-X2) + 0.00719*max(0,X0-0.895) - 0.00580*max(0,X2-12.1) * max(0,5.20-X3) + 0.000663**X2**2",00:00:22
GeneticEngine,0.180608012823258,0.001*dotPhi*dotr*sqrt(Abs(dotr - 0.1))/(-0.0111111111111111*Phi**2*dotr*r + 0.000111111111111111*Phi**2*dotr - 0.0111111111111111*Phi**2*r**2 + 0.000111111111111111*Phi**2*r - 0.0111111111111111*Phi*dotr**2 - 0.0111*Phi*dotr*r - 1.11111111111111e-7*Phi*dotr + 1.11111111111111e-5*Phi*r**2 - 1.12222222222222e-5*Phi*r + 1.11111111111111e-7*Phi - 1.11111111111111*dotr**2*r + 0.0111222222222222*dotr**2 - 1.11111111111111*dotr*r**2 +0.0111222222222222*dotr*r - 1.11111111111111e-5*dotr + 1.11111111111111e-8*r - 1.11111111111111e-10 - 1.11111111111111*dotr**3/Phi - 1.11*dotr**2*r/Phi - 1.11111111111111e-5*dotr**2/Phi + 0.00111111111111111*dotr*r**2/Phi - 0.00112222222222222*dotr*r/Phi + 1.11222222222222e-5*dotr/Phi + 0.00111111111111111*dotr**3/Phi**2 + 0.00111111111111111*dotr**2*r/Phi**2 - 0.00111111111111111*dotr**2/Phi**2 + 1.11111111111111e-6*dotr*r/Phi**2 - 1.11111111111111e-8*dotr/Phi**2 + 1.11111111111111e-6*dotr**2/Phi**3) + 0.001*dotPhi*sqrt(Abs(dotr - 0.1))/(-0.0111111111111111*Phi**2*dotr*r*sqrt(Abs(Phi)) + 0.000111111111111111*Phi**2*dotr*sqrt(Abs(Phi)) - 0.0111111111111111*Phi**2*r**2*sqrt(Abs(Phi)) + 0.000111111111111111*Phi**2*r*sqrt(Abs(Phi)) - 0.0111111111111111*Phi*dotr**2*sqrt(Abs(Phi)) - 0.0111*Phi*dotr*r*sqrt(Abs(Phi)) - 1.11111111111111e-7*Phi*dotr*sqrt(Abs(Phi)) + 1.11111111111111e-5*Phi*r**2*sqrt(Abs(Phi)) -1.12222222222222e-5*Phi*r*sqrt(Abs(Phi)) + 1.11111111111111e-7*Phi*sqrt(Abs(Phi)) - 1.11111111111111*dotr**2*r*sqrt(Abs(Phi)) + 0.0111222222222222*dotr**2*sqrt(Abs(Phi)) - 1.11111111111111*dotr*r**2*sqrt(Abs(Phi)) + 0.011122222222222*dotr*r*sqrt(Abs(Phi)) - 1.11111111111111e-5*dotr*sqrt(Abs(Phi)) + 1.11111111111111e-8*r*sqrt(Abs(Phi)) - 1.11111111111111e-10*sqrt(Abs(Phi)) - 1.11111111111111*dotr**3*sqrt(Abs(Phi))/Phi - 1.11*dotr**2*r*sqrt(Abs(Phi))/Phi- 1.11111111111111e-5*dotr**2*sqrt(Abs(Phi))/Phi + 0.00111111111111111*dotr*r**2*sqrt(Abs(Phi))/Phi - 0.00112222222222222*dotr*r*sqrt(Abs(Phi))/Phi + 1.11222222222222e-5*dotr*sqrt(Abs(Phi))/Phi + 0.00111111111111111*dotr**3*sqrt(Abs(Phi))/Phi**2 + 0.00111111111111111*dotr**2*r*sqrt(Abs(Phi))/Phi**2 - 0.00111111111111111*dotr**2*sqrt(Abs(Phi))/Phi**2 + 1.11111111111111e-6*dotr*r*sqrt(Abs(Phi))/Phi**2 - 1.11111111111111e-8*dotr*sqrt(Abs(Phi))/Phi**2 + 1.11111111111111e-6*dotr**2*sqrt(Abs(Phi))/Phi**3) - 0.0001*dotPhi*sqrt(Abs(dotr - 0.1))/(-0.0111111111111111*Phi**2*dotr**2*r + 0.000111111111111111*Phi**2*dotr**2 - 0.0111111111111111*Phi**2*dotr*r**2 + 0.000111111111111111*Phi**2*dotr*r - 0.0111111111111111*Phi*dotr**3 - 0.0111*Phi*dotr**2*r - 1.11111111111111e-7*Phi*dotr**2 + 1.11111111111111e-5*Phi*dotr*r**2 - 1.12222222222222e-5*Phi*dotr*r + 1.11111111111111e-7*Phi*dotr - 1.11111111111111*dotr**3*r + 0.0111222222222222*dotr**3 - 1.11111111111111*dotr**2*r**2 + 0.0111222222222222*dotr**2*r - 1.11111111111111e-5*dotr**2 + 1.11111111111111e-8*dotr*r - 1.11111111111111e-10*dotr - 1.11111111111111*dotr**4/Phi - 1.11*dotr**3*r/Phi - 1.11111111111111e-5*dotr**3/Phi + 0.00111111111111111*dotr**2*r**2/Phi - 0.00112222222222222*dotr**2*r/Phi + 1.11222222222222e-5*dotr**2/Phi + 0.00111111111111111*dotr**4/Phi**2 + 0.00111111111111111*dotr**3*r/Phi**2 - 0.001111111111111111*dotr**3/Phi**2 + 1.11111111111111e-6*dotr**2*r/Phi**2 - 1.11111111111111e-8*dotr**2/Phi**2 + 1.11111111111111e-6*dotr**3/Phi**3) + 0.001*dotPhi*sqrt(Abs(dotr - 0.1))/(-0.0111111111111111*Phi**2*dotr*r + 0.0001111111111111*Phi**2*dotr - 0.0111111111111111*Phi**2*r**2 + 0.000111111111111111*Phi**2*r - 0.0111111111111111*Phi*dotr**2 - 0.0111*Phi*dotr*r - 1.11111111111111e-7*Phi*dotr + 1.11111111111111e-5*Phi*r**2 - 1.12222222222222e-5*Phi*r + 1.11111111111111e-7*Phi - 1.11111111111111*dotr**2*r + 0.0111222222222222*dotr**2 - 1.11111111111111*dotr*r**2 + 0.0111222222222222*dotr*r - 1.11111111111111e-5*dotr + 1.11111111111111e-8*r - 1.11111111111111e-10 - 1.1111111111111*dotr**3/Phi - 1.11*dotr**2*r/Phi - 1.11111111111111e-5*dotr**2/Phi + 0.00111111111111111*dotr*r**2/Phi - 0.00112222222222222*dotr*r/Phi + 1.11222222222222e-5*dotr/Phi + 0.00111111111111111*dotr**3/Phi**2 + 0.00111111111111111*dotr**2*r/Phi**2 - 0.00111111111111111*dotr**2/Phi**2 + 1.11111111111111e-6*dotr*r/Phi**2 - 1.11111111111111e-8*dotr/Phi**2 + 1.11111111111111e-6*dotr**2/Phi**3) + dotr**2*r*sqrt(Abs(dotr - 0.1))/(-0.0111111111111111*Phi**2*dotr*r+ 0.000111111111111111*Phi**2*dotr - 0.0111111111111111*Phi**2*r**2 + 0.000111111111111111*Phi**2*r - 0.0111111111111111*Phi*dotr**2 - 0.0111*Phi*dotr*r - 1.11111111111111e-7*Phi*dotr + 1.11111111111111e-5*Phi*r**2 - 1.122222222222e-5*Phi*r + 1.11111111111111e-7*Phi - 1.11111111111111*dotr**2*r + 0.0111222222222222*dotr**2 - 1.11111111111111*dotr*r**2 + 0.0111222222222222*dotr*r - 1.11111111111111e-5*dotr + 1.11111111111111e-8*r - 1.11111111111111e-10- 1.11111111111111*dotr**3/Phi - 1.11*dotr**2*r/Phi - 1.11111111111111e-5*dotr**2/Phi + 0.00111111111111111*dotr*r**2/Phi - 0.00112222222222222*dotr*r/Phi + 1.11222222222222e-5*dotr/Phi + 0.00111111111111111*dotr**3/Phi**2 + 0.00111111111111111*dotr**2*r/Phi**2 - 0.00111111111111111*dotr**2/Phi**2 + 1.11111111111111e-6*dotr*r/Phi**2 - 1.11111111111111e-8*dotr/Phi**2 + 1.11111111111111e-6*dotr**2/Phi**3) + dotr*r*sqrt(Abs(dotr - 0.1))/(-0.0111111111111111*Phi**2*dotr*r*sqrt(Abs(Phi)) + 0.000111111111111111*Phi**2*dotr*sqrt(Abs(Phi)) - 0.0111111111111111*Phi**2*r**2*sqrt(Abs(Phi)) + 0.000111111111111111*Phi**2*r*sqrt(Abs(Phi)) - 0.0111111111111111*Phi*dotr**2*sqrt(Abs(Phi)) - 0.0111*Phi*dotr*r*sqrt(Abs(Phi)) - 1.11111111111111e-7*Phi*dotr*sqrt(Abs(Phi)) + 1.11111111111111e-5*Phi*r**2*sqrt(Abs(Phi)) - 1.12222222222222e-5*Phi*r*sqrt(Abs(Phi)) + 1.11111111111111e-7*Phi*sqrt(Abs(Phi)) - 1.11111111111111*dotr**2*r*sqrt(Abs(Phi)) + 0.0111222222222222*dotr**2*sqrt(Abs(Phi)) - 1.11111111111111*dotr*r**2*sqrt(Abs(Phi)) + 0.0111222222222222*dotr*r*sqrt(Abs(Phi)) - 1.11111111111111e-5*dotr*sqrt(Abs(Phi)) + 1.11111111111111e-8*r*sqrt(Abs(Phi)) - 1.11111111111111e-10*sqrt(Abs(Phi)) - 1.11111111111111*dotr**3*sqrt(Abs(Phi))/Phi - 1.11*dotr**2*r*sqrt(Abs(Phi))/Phi - 1.11111111111111e-5*dotr**2*sqrt(Abs(Phi))/Phi + 0.00111111111111111*dotr*r**2*sqrt(Abs(Phi))/Phi - 0.00112222222222222*dotr*r*sqrt(Abs(Phi))/Phi + 1.11222222222222e-5*dotr*sqrt(Abs(Phi))/Phi + 0.00111111111111111*dotr**3*sqrt(Abs(Phi))/Phi**2 + 0.00111111111111111*dotr**2*r*sqrt(Abs(Phi))/Phi**2 - 0.00111111111111111*dotr**2*sqrt(Abs(Phi))/Phi**2 + 1.11111111111111e-6*dotr*r*sqrt(Abs(Phi))/Phi**2 - 1.11111111111111e-8*dotr*sqrt(Abs(Phi))/Phi**2 + 1.11111111111111e-6*dotr**2*sqrt(Abs(Phi))/Phi**3) + dotr*r*sqrt(Abs(dotr - 0.1))/(-0.0111111111111111*Phi**2*dotr*r + 0.000111111111111111*Phi**2*dotr - 0.0111111111111111*Phi**2*r**2 + 0.000111111111111111*Phi**2*r - 0.0111111111111111*Phi*dotr**2 - 0.0111*Phi*dotr*r - 1.11111111111111e-7*Phi*dotr + 1.11111111111111e-5*Phi*r**2 - 1.12222222222222e-5*Phi*r + 1.11111111111111e-7*Phi - 1.11111111111111*dotr**2*r + 0.0111222222222222*dotr**2 - 1.11111111111111*dotr*r**2 + 0.0111222222222222*dotr*r - 1.11111111111111e-5*dotr + 1.11111111111111e-8*r - 1.111111111111e-10 - 1.11111111111111*dotr**3/Phi - 1.11*dotr**2*r/Phi - 1.11111111111111e-5*dotr**2/Phi + 0.00111111111111111*dotr*r**2/Phi - 0.00112222222222222*dotr*r/Phi + 1.11222222222222e-5*dotr/Phi + 0.00111111111111111*dotr**3/Phi**2 + 0.00111111111111111*dotr**2*r/Phi**2 - 0.00111111111111111*dotr**2/Phi**2 + 1.11111111111111e-6*dotr*r/Phi**2 - 1.11111111111111e-8*dotr/Phi**2 + 1.11111111111111e-6*dotr**2/Phi**3) - 0.1*r*sqrt(Abs(dotr - 0.1))/(-0.011111111111111*Phi**2*dotr*r + 0.000111111111111111*Phi**2*dotr - 0.0111111111111111*Phi**2*r**2 + 0.000111111111111111*Phi**2*r - 0.0111111111111111*Phi*dotr**2 - 0.0111*Phi*dotr*r - 1.11111111111111e-7*Phi*dotr + 1.11111111111111e-5*Phi*r**2 - 1.12222222222222e-5*Phi*r + 1.11111111111111e-7*Phi - 1.11111111111111*dotr**2*r + 0.0111222222222222*dotr**2 - 1.11111111111111*dotr*r**2 + 0.0111222222222222*dotr*r - 1.11111111111111e-5*dotr + 1.11111111111111e-8*r -1.11111111111111e-10 - 1.11111111111111*dotr**3/Phi - 1.11*dotr**2*r/Phi - 1.11111111111111e-5*dotr**2/Phi + 0.00111111111111111*dotr*r**2/Phi - 0.00112222222222222*dotr*r/Phi + 1.11222222222222e-5*dotr/Phi + 0.001111111111111111*dotr**3/Phi**2 + 0.00111111111111111*dotr**2*r/Phi**2 - 0.00111111111111111*dotr**2/Phi**2 + 1.11111111111111e-6*dotr*r/Phi**2 - 1.11111111111111e-8*dotr/Phi**2 + 1.11111111111111e-6*dotr**2/Phi**3),04:00:02
gpg,1.237008671307944e-05,0.00049284438136965 + 0.0171994734555483*x_1*(sin(x_0) - 11.8721752166748)*sin(-0.761514663696289*x_1 + 2*x_2 + 1.58874762058258)/(x_0*sin(x_1)),00:11:08
gpzgd,3.8485328363648767e-05,"-5.01854e-02+4.59301e-01*(((np.sin(((X[:,2]*-9.78728e+00)-np.sin(4.50778e-01)))*(((-2.63289e+00*7.8101e-01)-(X[:,3]*7.19038e-02))+np.sin((X[:,0]+1.14903e+00))))-((((X[:,0]*5.80124e-01)-(X[:,1]--3.06078e-01))+((5.80741e-02*X[:,3])*(X[:,1]+X[:,2])))-(((X[:,3]--3.21143e-01)*(X[:,2]-2.15965e-01))*((7.6518e-01*X[:,0])-np.sin(X[:,0]))))))",04:00:02
ITEA,0.001239019211637,-2.74029e-3 + 1.02934e-5*(x0^(4)*x1^(-2)*x2^(5)*x3^(-1)) + -1.29766e-5*(x0^(-4)*x1^(2)*x2^(4)) + -0.54278*Cos(x0^(5)*x1*x2*x3^(5)) + -0.10052*Sin(x0^(2)*x1^(-2)) + 0.24504*Cos(x0^(3)*x1^(-4)*x3^(-2)),00:11:02
Operon,0.018453439939849003,(0.02107 + ((-0.62785) * cos((1.98970 * X3)))),00:00:14
PySR,0.0017988778478530002,-0.0901520256024684*(dotPhi + cos(dotr))*(dotr**3 + cos(Phi + Phi)),00:47:39
