H0,Omega_Q0,Omega_R0,Omega_m0,target,z
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-4.080347594,0.1
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.9158110086,0.1183673469
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.7607729758,0.1367346939
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.6144669457,0.1551020408
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.4762136447,0.1734693878
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.3454069047,0.1918367347
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.2215026616,0.2102040816
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-3.1040102187,0.2285714286
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.9924851744,0.2469387755
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.8865236078,0.2653061224
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.7857572326,0.2836734694
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.6898493122,0.3020408163
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.5984911826,0.3204081633
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.5113992689,0.3387755102
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.4283125043,0.3571428571
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.3489900851,0.3755102041
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.2732095062,0.393877551
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.200764833,0.412244898
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.1314651751,0.4306122449
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.0651333329,0.4489795918
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-2.0016045922,0.4673469388
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.9407256487,0.4857142857
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.8823536436,0.5040816327
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.8263552983,0.5224489796
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.7726061345,0.5408163265
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.720989771,0.5591836735
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.6713972866,0.5775510204
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.6237266438,0.5959183673
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.5778821642,0.6142857143
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.5337740522,0.6326530612
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.4913179604,0.6510204082
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.4504345927,0.6693877551
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.4110493424,0.687755102
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.3730919595,0.706122449
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.3364962467,0.7244897959
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.3011997799,0.7428571429
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.2671436514,0.7612244898
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.2342722334,0.7795918367
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.2025329603,0.7979591837
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.1718761279,0.8163265306
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.1422547076,0.8346938776
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.1136241752,0.8530612245
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.085942352,0.8714285714
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.0591692579,0.8897959184
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.0332669755,0.9081632653
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-1.0081995229,0.9265306122
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-0.9839327372,0.9448979592
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-0.9604341646,0.9632653061
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-0.9376729594,0.9816326531
0.0715898516,-0.1068949732,0.9517024568,0.1551925164,-0.9156197891,1.0
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-4.0652431374,0.1
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.9000693388,0.1183673469
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.7444813482,0.1367346939
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.5977012507,0.1551020408
0.0715898516,-0.1106442477,0.9499958139,0.1606484338,-3.4590402635,0.1734693878
